Datetime (he),PV Gen (kW/rated kW),System Load (kW),EV fleet/1,Site Heating Load (BTU/hr),Site Cooling Load (BTU/hr),Site Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW),NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),POI: Max Export (kW),POI: Max Import (kW),Aggregate Energy Max (kWh),Aggregate Energy Min (kWh),Critical Load (kW),Battery: Charge Min (kW)/1,Battery: Charge Max (kW)/1,Battery: Energy Max (kWh)/1,Battery: Energy Min (kWh)/1,Battery: Discharge Min (kW)/1,Battery: Discharge Max (kW)/1,FR Reg Up Max (kW),FR Reg Up Min (kW),FR Reg Down Max (kW),FR Reg Down Min (kW),SR Max (kW),SR Min (kW),NSR Max (kW),NSR Min (kW),LF Reg Up Max (kW),LF Reg Up Min (kW),LF Reg Down Max (kW),LF Reg Down Min (kW),LF Down Price ($/kW),LF Up Price ($/kW),LF Energy Option Up (kWh/kW-hr),LF Energy Option Down (kWh/kW-hr)
1/1/17 1:00,0,4019.608554,40,80.39217108,120.5882566,0,0.01,32.141,32.141,32.141,7475,0,0,0,0,1900,-1900,9000,0,80.39217108,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 2:00,0,3738.652086,40,74.77304172,112.1595626,0,0.01,32.09331,32.09331,32.09331,7475,0,0,0,0,1900,-1900,9000,0,74.77304172,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 3:00,0,4054.570141,40,81.09140282,121.6371042,0,0.01,31.75182,31.75182,31.75182,7475,0,0,0,0,1900,-1900,9000,0,81.09140282,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 4:00,0,3703.137769,40,74.06275538,111.0941331,0,0.01,31.65485,31.65485,31.65485,7475,0,0,0,0,1900,-1900,9000,0,74.06275538,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 5:00,0,4141.420555,40,82.8284111,124.2426167,0,0.01,30.78625,30.78625,30.78625,7475,0,0,0,0,1900,-1900,9000,0,82.8284111,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 6:00,0,4050.901661,40,81.01803322,121.5270498,0,0.01,32.64,32.64,32.64,7475,0,0,0,0,1900,-1900,9000,0,81.01803322,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 7:00,0,4850.896901,40,97.01793802,145.526907,0,0.01,34.63289,34.63289,34.63289,7475,0,0,0,0,1900,-1900,9000,0,97.01793802,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 8:00,0.078231,4429.817908,40,88.59635816,132.8945372,0,0.01,34.95474,34.95474,34.95474,7475,0,0,0,10,1900,-1900,9000,0,88.59635816,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 9:00,0.415964,4572.633046,40,91.45266092,137.1789914,0,0.01,29.70845,29.70845,29.70845,7475,0,0,0,10,1900,-1900,9000,0,91.45266092,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 10:00,0.69657,3900.506753,40,78.01013506,117.0152026,0,0.01,17.09308,17.09308,17.09308,7475,0,0,0,10,1900,-1900,9000,0,78.01013506,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 11:00,0.880665,3787.672133,40,75.75344266,113.630164,0,0.01,9.23,9.23,9.23,7475,0,0,0,10,1900,-1900,9000,0,75.75344266,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 12:00,0.979825,3506.213565,40,70.1242713,105.186407,0,0.01,4.78,4.78,4.78,7475,0,0,0,10,1900,-1900,9000,0,70.1242713,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 13:00,0.994815,3934.668053,40,78.69336106,118.0400416,0,0.01,3.0651,3.0651,3.0651,7475,0,0,0,10,1900,-1900,9000,0,78.69336106,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 14:00,0.76356,3647.279507,40,72.94559014,109.4183852,0,0.01,2.74629,2.74629,2.74629,7475,0,0,0,10,1900,-1900,9000,0,72.94559014,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 15:00,0.76163,4060.574644,40,81.21149288,121.8172393,0,0.01,8.15473,8.15473,8.15473,7475,0,0,0,10,1900,-1900,9000,0,81.21149288,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 16:00,0.52506,3672.233699,40,73.44467398,110.167011,0,0.01,27.41489,27.41489,27.41489,7475,0,0,0,10,1900,-1900,9000,0,73.44467398,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 17:00,0.210031,4710.773492,40,94.21546984,141.3232048,0,0.01,36.04143,36.04143,36.04143,7475,0,0,0,10,1900,-1900,9000,0,94.21546984,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 18:00,0,4888.333553,40,97.76667106,146.6500066,0,0.01,50.59049,50.59049,50.59049,7475,0,0,0,0,1900,-1900,9000,0,97.76667106,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 19:00,0,5180.458057,40,103.6091611,155.4137417,0,0.01,51.07051,51.07051,51.07051,7475,0,0,0,0,1900,-1900,9000,0,103.6091611,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 20:00,0,4584.224275,40,91.6844855,137.5267283,0,0.01,45.38316,45.38316,45.38316,7475,0,0,0,0,1900,-1900,9000,0,91.6844855,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
1/1/17 21:00,0,4890.245882,40,97.80491764,146.7073765,0,0.01,40.96986,40.96986,40.96986,7475,0,0,0,0,1900,-1900,9000,0,97.80491764,0,,,0,0,,100,0,50,0,75,0,150,0,100,0,50,0,,,,
